2nd Order Indicators,,,,,,,,,,,,,,,,,,,,,,,
,Vallés,,Nemaha,,,,St. Florian,,,,,Grünburg,,,,,Santa Fe,,,Queens,,,
,1860,1999,1880,1930,1954,1997,1830,1864,1950,1960,2000,1830,1864,1950,1960,2000,1904,1934,1997,1880,1930,1950,1996
Energy,,,,,,,,,,,,,,,,,,,,,,,
Unharvested phytomass (UPH),31.6,60.2,,,,,,,,,,,,,,,,,,,,,
Land produce (LP),53.9,24.4,46.3,26.2,30.3,51.4,48.8,85.8,60.7,93.9,103.3,34.8,52.5,41.6,54.6,86.9,44.8,46.2,102.5,48.0,47.1,51.7,71.0
Livestock-barnyard produce (LBP),0.3,25.6,1.2,1.1,0.6,1.1,1.2,2.7,2.1,3.5,4.3,1.0,1.3,2.1,3.4,8.1,1.9,4.9,3.1,0.2,1.0,0.8,3.3
Total produce (TP),54.3,50.0,47.5,27.3,30.9,52.5,50.1,88.5,62.8,97.4,107.6,35.9,53.8,43.7,58.0,95.0,46.7,51.0,105.6,48.2,48.1,52.5,74.3
Biomass reused (BR),25.4,15.3,37.6,23.1,25.0,30.8,33.4,64.0,44.1,58.4,36.6,22.0,33.3,40.2,61.0,65.1,21.6,29.1,56.4,27.2,26.8,30.0,45.8
Farmland waste (FW),0.0,1.2,,,,,,,,,,,,,,,,,,,,,
Final produce (FP),28.8,33.5,9.9,4.2,5.9,21.7,16.7,24.4,18.7,39.1,71.0,13.9,20.4,15.6,21.2,42.2,26.8,28.5,77.5,21.0,21.3,22.6,28.5
Livestock-barnyard services (LBS),2.7,4.0,,,,,,,,,,,,,,,,,,,,,
Livestock-barnyard waste (LBW),0.0,27.5,,,,,,,,,,,,,,,,,,,,,
Farming community societal inputs (FCSI),0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Agroecosystem societal inputs (ASI),0.0,134.1,0.4,1.1,4.5,16.0,0.0,0.0,9.0,13.9,41.7,0.0,0.0,5.5,14.4,50.7,2.2,3.1,35.5,0.3,0.7,2.1,9.8
Labour (L),0.4,0.3,0.1,0.1,0.1,0.0,1.0,1.3,0.8,0.4,0.2,0.9,0.9,0.8,0.5,0.3,0.3,0.2,0.1,0.2,0.1,0.1,0.0
Farming community inputs (FCI),2.2,0.0,,,,,,,,,,,,,,,,,,,,,
External inputs (EI),2.6,134.5,0.6,1.2,4.6,16.0,2.0,2.5,10.7,14.7,42.1,1.7,1.7,7.1,15.3,51.2,2.4,3.3,35.6,0.5,0.9,2.2,9.8
Total inputs consumed (TIC),28.0,149.7,38.2,24.3,29.6,46.8,35.4,66.5,54.8,73.1,78.7,23.6,35.0,47.3,76.3,116.3,24.0,32.4,92.0,27.7,27.7,32.2,55.6
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3rd Order Indicators,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,,,,,,,,,
Final EROI = FP/TIC,,,,,,,,,,,,,,,,,,,,,,,
External Final EROI = FP/EI,,,,,,,,,,,,,,,,,,,,,,,
Internal Final EROI = FP/BR,,,,,,,,,,,,,,,,,,,,,,,
NPPact EROI = (UPH+LP)/TIC,,,,,,,,,,,,,,,,,,,,,,,
